Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C23, C24, C31, C32, C41, C42",0603,8,12pF,
"C10, C11, C33, C34",0603,4,100pF,
"C12, C35",0603,2,820pF,
"C13, C16, C17, C22, C25, C30, C36, C37, C38, C4, C45, C46, C47, C5",0603,14,4.7uF,
"C14, C18, C26, C3, C39, C44",0603,6,1uF,
"C15, C40",0603,2,47nF,
"C19, C20, C21, C27, C28, C29",0603,6,100nF,
"C43, C9",0603,2,10uF,
"C48, C6",0603,2,0.8pF,
"C49, C7",0603,2,0.5pF,
"C50, C8",0603,2,N.C.,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D5, D6, D7, D8, D9",0603,42,D,
"J1, J3",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,2,Bat,
"J2, J4",USB_C_Receptacle_GCT_USB4085,2,USB_C_Receptacle_USB2.0_16P,
"J5, J6",IDC-Header_2x03_P2.54mm_Horizontal,2,MAIN_CONN,
"J7, J8",IDC-Header_2x03_P2.54mm_Horizontal,2,CLUSTER_CONN,
"L1, L8",0402,2,4.7nH,
"L2, L4, L6, L7",0603,4,10uH,
"L3, L5",0603,2,15nH,
"LED1, LED2",1206,2,Charge_LED,
"R1, R8",0603,2,2k,
"R10, R5",0603,2,10M,
"R11, R12, R2, R3, R4, R9",0603,6,10k,
"R13, R14, R6, R7",0603,4,5.1k,
"SW1, SW23",SW_E-Switch_EG1224_SPDT_Angled,2,Power_Switch,
"SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW2, SW20, SW21, SW22, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW42, SW43, SW44, SW5, SW6, SW7, SW8, SW9",MX-Hotswap-1U,38,MX HotSwap,
"SW18, SW19, SW40, SW41",MX-Hotswap-2U,4,MX HotSwap,
"TP1, TP2",2816,2,Charge Boost,
"U1, U4",Nordic_AQFN-73-1EP_7x7mm_P0.5mm,2,nRF52840,
"U2, U6",VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,2,BQ24075RGT,
"U3, U5",SOT-23-5,2,XC6220B331MR,
"X1, X2",Crystal_SMD_2012-2Pin_2.0x1.2mm,2,32.768kHz,
"Y1, Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,2,32Mhz,
