Designator,Mid X,Mid Y,Rotation,Layer
D16,162.782265,-150.092312,90.0,bottom
D17,176.184189,-181.695669,0.0,bottom
D18,157.220732,-181.818909,0.0,bottom
D19,181.946685,-150.28606,90.0,bottom
D20,181.969443,-169.325479,90.0,bottom
D21,181.891721,-188.44086,90.0,bottom
J8,154.969214,-143.51,0.0,bottom
SW17,171.097582,-144.997012,180.0,bottom
SW18,171.097583,-173.572012,90.0,bottom
SW19,152.047582,-173.572012,90.0,bottom
SW20,190.147583,-144.997012,180.0,bottom
SW21,190.147583,-164.047012,180.0,bottom
SW22,190.147583,-183.097012,180.0,bottom
